序号,商品标题,价格,店铺,销量,发货地,标签/服务,判断,商品链接,店铺链接,图片链接
42,2026网红新款弯钩字母印花纯棉夏季短袖T恤男女精神小伙休闲半袖,25,晨星小小铺,29人付款,广东 广州,包邮,包邮,https://item.taobao.com/item.htm?id=1031305367813&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=000092goX-Z4nXbrcfiWtvlDE5gEw22vlQTBCEh4RpSsZbk&skuId=6211618302116,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWQFmPRBoEJ23gnae343S6nK4En2Jnr2gUSRNRSsmDjpNW,https://g-search1.alicdn.com/img/bao/uploaded/i4/O1CN01XFghp61T4jZ7Vnn4r_!!2217426032329.jpg
43,Dickies美式潮牌百搭经典logo字母印花短袖t恤男2026夏季男女同款,119,Dickies男装企业店,0人付款,北京,超级立减10%、退货宝、包邮,有退货保障；包邮,https://item.taobao.com/item.htm?id=1061067090298&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000mJDrKCHqiiEyRnqIoeEkKzjYnO5Do488kZATqCGNVjw&skuId=6272031519336,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWLDzGWyXZuYi2DEMvehm6yBQBLDsZfEveygN1vYQvWyz1,https://g-search3.alicdn.com/img/bao/uploaded/i4/O1CN01mYhTwy1J3E7l0I3L1_!!2222201280972.jpg
44,Nuthink美式复古刺绣字母毛巾绣短袖T恤潮牌男女情侣2026年夏季,84.1,nuthink旗舰店,400+人付款,广东 广州,官方立减14.9元、天猫、天猫、包邮,包邮,https://detail.tmall.com/item.htm?id=922825326528&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=00008Kc8r6XF6w7YnHqk1ky9zNnIhnVNbF1MBFMmjXqLbWw&skuId=5799832844882,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWUExsdvRZwg67XpUQiujHTtPiGp7GYCY6Xhci7Umcdno3,https://gw.alicdn.com/imgextra/O1CN01lpGdeN2IOvSAf56R0_!!2917239277-0-picasso.jpg
45,Dickies美式高街大logo设计纯棉打底宽松套头圆领短袖T恤男女同款,119,Dickies男装企业店,5人付款,北京,官方立减12%、退货宝、48小时内发、包邮,有退货保障；包邮,https://item.taobao.com/item.htm?id=1059503535479&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000Qt5pJP9Sw9x3NsZEeEhIkT085MDCNnB27DZAfugv-F0&skuId=6105513488477,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWLDzGWyXZuYi2DEMvehm6yBQBLDsZfEveygN1vYQvWyz1,https://g-search2.alicdn.com/img/bao/uploaded/i4/O1CN013r1nBa1J3E7mv9Nd2_!!2222201280972.jpg
46,快手网红新款字母印花纯棉圆领夏季短袖T恤男女精神小伙休闲百搭,25,文涛潮品店,25人付款,广东 深圳,48小时内发、包邮,包邮,https://item.taobao.com/item.htm?id=1031703480688&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000I02BjnwonjG48Ui4Ov_74Exl4AG93xOJEwju3NLGRZU&skuId=6042819136143,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWYBUc1zuZ8in3V1ny83NvM6m7UjxbVrAA7ZrSeWRB65Pq,https://g-search3.alicdn.com/img/bao/uploaded/i4/O1CN01pCcU4g22o5KoZVyph_!!2216907667166.png
47,Tldv 美式复古高街字母徽章logo图案印花设计宽松休闲圆领短袖T恤,32.9,TideStyle线上商店,0人付款,广东 揭阳,6期、退货宝、包邮,有退货保障；包邮,https://item.taobao.com/item.htm?id=1045389585724&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000v3IQVHtkAI3MWlktipzoi_TklYMUqn5UGLGbdCup3bw&skuId=6068139852598,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWMhkduvtFZzgM2c8ViHhkYUnKuRSpUi58ZDdY4SB2s4j7,https://g-search3.alicdn.com/img/bao/uploaded/i4/O1CN01bbzgy31Xgz76FJDlf_!!3139232954.png
48,Tldv 美式潮牌高街cleanfit高级氛围感字母花卉印花宽松短袖T恤,29.9,TideStyle线上商店,0人付款,广东 揭阳,6期、退货宝、包邮,有退货保障；包邮,https://item.taobao.com/item.htm?id=1060041371350&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000Pk_40waUxLVb8hXzZEt3LyX2QnVxuVD-C96ijBSAfa4&skuId=6106468528610,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWMhkduvtFZzgM2c8ViHhkYUnKuRSpUi58ZDdY4SB2s4j7,https://g-search3.alicdn.com/img/bao/uploaded/i4/O1CN01EZnXVE1Xgz7tP3p43_!!3139232954.jpg
49,美式潮牌重磅纯棉火焰刺绣圆领短袖T恤男女夏季宽松情侣半袖体恤,60.7,WASSUPUOSNE总店,15人付款,浙江 杭州,官方立减12%、退货宝、包邮、公益宝贝,有退货保障；包邮,https://item.taobao.com/item.htm?id=1025627066986&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=00001wFJbfphiG4EAjkPGeJ7PuDFsE2yPxXOrDYjP1ivqfw&skuId=6036275220107,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWWbYogpVD66N7h1EJs23hn8z9a9yGKBNBnLeUyMcLvpAF,https://g-search1.alicdn.com/img/bao/uploaded/i4/O1CN01d19XWK1d1f3xoEB4F_!!1018143676.jpg
50,快手网红新款海鸥字母印花纯棉夏季短袖T恤男女精神小伙休闲半袖,25,文涛潮品店,28人付款,广东 深圳,包邮,包邮,https://item.taobao.com/item.htm?id=1029382120330&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000_bfNOvxlexzVLYhn7rl5mhI-xxM6ugLSZalBydTLNqY&skuId=6040107593893,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWYBUc1zuZ8in3V1ny83NvM6m7UjxbVrAA7ZrSeWRB65Pq,https://g-search3.alicdn.com/img/bao/uploaded/i4/O1CN014je7pL22o5KoS8S6n_!!2216907667166.png
51,LMC 纯棉趣味涂鸦多元素印花品牌字母Logo设计宽松舒适休闲T恤,26.9,Imc TL线上商店,0人付款,广东 广州,6期、30天价保、退货宝、包邮,有退货保障；包邮,https://item.taobao.com/item.htm?id=1064667728163&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000DmxyixJc5F3h44-2BPrRQFKsm8bhA3RsCxgrD6nF6XA&skuId=6274666443856,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWN1EeNgnQztWMB8PuEYVXxfDXSSKp9z6JejB7CgfoitME,https://gw.alicdn.com/imgextra/O1CN01RAB86P2JA6FRdemoU_!!2209630359380-0-picasso.jpg
52,一男一女纯棉刺绣字母潮牌短袖t恤男女2026新款夏季宽松学生上衣,49.9,WassupUosne联名品牌总舰店,0人付款,浙江 杭州,包邮,包邮,https://item.taobao.com/item.htm?id=1049809638419&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000cHbtSFiyh3cM2xYcKMc4WmSiZdNaPuQLHb4j_TMBJZM&skuId=6246127039616,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWZNmJGjc51r8aDZJKoTTfo7BpPn4dWenptwsFERNGpgMZ,https://g-search1.alicdn.com/img/bao/uploaded/i4/O1CN01irKhSb29bRjAqpsp6_!!2943238086.jpg
53,重磅刺绣字母纯棉短袖t恤男女2026新款夏季一男一女宽松学生上衣,46.9,Wassup Uosne国潮总店,6人付款,浙江 杭州,退货宝、包邮,有退货保障；包邮,https://item.taobao.com/item.htm?id=1026980143149&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000AQnLlAN9MRHaNawv3dKnCrucVD_Bv3rVQ_Npqv0_vJM&skuId=6204437786809,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWVLsDbNucR2grN2CxX8UogUefQKbZUEx3KPJp3fTXhPBw,https://g-search3.alicdn.com/img/bao/uploaded/i4/O1CN01c0urUj1KE34n3OGKk_!!2447921131.jpg
54,纯棉短袖t恤男款潮牌美式风高街痞帅印花潮流重磅初中生夏季街头,34.92,UZQEIS旗舰店,3000+人付款,广东 广州,天猫、天猫、退货宝、包邮,有退货保障；包邮,https://detail.tmall.com/item.htm?id=1021534132320&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000ks8SFNfNsANrR1PRNNoddsICInT4TE46CRxxmSS_M4E&skuId=6195842378645,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWR2j6y4h9vpgr39PXerkD6Zq8F2AJQKDmNHe4cyPU5s67,https://g-search3.alicdn.com/img/bao/uploaded/i4/O1CN01XnD10t1qaYEesM8F0_!!2214812695512.png
55,Dickies美式豹纹字母印花纯棉打底宽松套头圆领短袖T恤男女同款,119,Dickies男装企业店,4人付款,北京,官方立减12%、退货宝、48小时内发、包邮,有退货保障；包邮,https://item.taobao.com/item.htm?id=1059471987465&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000jlEsebZMihus-XJ9Mt_ztFqIhlaVcUQR-ScKDVONfos&skuId=6270667263237,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWLDzGWyXZuYi2DEMvehm6yBQBLDsZfEveygN1vYQvWyz1,https://g-search3.alicdn.com/img/bao/uploaded/i4/O1CN01XbGwCy1J3E7mGZBNX_!!2222201280972.jpg
56,LOOX Gz 美式复古高街个性字母Logo印花日常运动休闲宽松短袖T恤,29.9,LOOX Gz国潮,0人付款,广东 揭阳,3期、退货宝、包邮,有退货保障；包邮,https://item.taobao.com/item.htm?id=1052295131916&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000XC7hhK2y91QRiGk_qcEsgRBmBqellOtYslPnK8CPCeA&skuId=6258059871971,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWb92HtS5GRqktkWjg9BeUxm4R16DyRGCaAecQjnpgxUDc,https://gw.alicdn.com/imgextra/O1CN01bWvZl41pTqqadcLiP_!!2451845362-0-picasso.jpg
57,Dickies重磅300g索罗纳巴黎棉袖T恤夏季圆领宽松百搭情侣半袖,119,Dickies品牌店,500+人付款,福建 泉州,退货宝、48小时内发、包邮,有退货保障；包邮,https://item.taobao.com/item.htm?id=1035094679453&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000cYJshYmTEvBcwSbTlbhZmp2z39ipH88OrEWkyWmflVM&skuId=6053207841526,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWUiQHyVa8iGiCFzLNsri38btewqW5kX2kqA2yduxg799j,https://g-search3.alicdn.com/img/bao/uploaded/i4/O1CN014NWHF81Vk4XyK7Ne5_!!2207786462690.jpg
58,Dickies圆领短袖T恤男女同款美式高街高级感设计纯棉打底宽松套头,119,Dickies男装企业店,9人付款,北京,官方立减12%、退货宝、48小时内发、包邮,有退货保障；包邮,https://item.taobao.com/item.htm?id=1059472679285&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000PuPoh6HtPzO7gHqhfd2J3dRXnvIU_4CzUBjkf-D6ABE&skuId=6270668155983,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWLDzGWyXZuYi2DEMvehm6yBQBLDsZfEveygN1vYQvWyz1,https://g-search2.alicdn.com/img/bao/uploaded/i4/O1CN014HFeTs1J3E7mPxHRM_!!2222201280972.jpg
59,LMC 美式潮牌高街cleanfit高级氛围感字母花卉印花短袖T恤,29.9,Imc TL线上商店,0人付款,广东 广州,6期、30天价保、退货宝、包邮,有退货保障；包邮,https://item.taobao.com/item.htm?id=1063184556797&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000CpviPjhZYAW0J5EC6o6_z6WJfit_jSp9Gj6048nnLAU&skuId=6272353279724,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWN1EeNgnQztWMB8PuEYVXxfDXSSKp9z6JejB7CgfoitME,https://gw.alicdn.com/imgextra/O1CN01YvMjLU2JA6FLDt6Fu_!!2209630359380-0-picasso.jpg
60,Tldv 美式高街小众潮牌小鱼小虾印花图案复古街头时尚经典潮流T恤,29.9,TideStyle线上商店,0人付款,广东 揭阳,6期、退货宝、包邮,有退货保障；包邮,https://item.taobao.com/item.htm?id=1061724142764&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000XZ_niZ_h79Y7VYTzkpWSkvGb6I2Gc2RtQYMXk1oOdk8&skuId=6108082908545,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWMhkduvtFZzgM2c8ViHhkYUnKuRSpUi58ZDdY4SB2s4j7,https://g-search2.alicdn.com/img/bao/uploaded/i4/O1CN01vVj4Ng1Xgz80iifkE_!!3139232954.jpg
